nodeId,browseName,displayName,dataTypeId,value,statusCode,sourceTimestamp,serverTimestamp
ns=1;s=thermometer,1:thermometer,thermometer,ns=0;i=24,95,Good (0x00000000),2025-08-15T11:33:19.866Z,2025-08-15T11:33:19.866Z
ns=1;s=max_temp,1:max_temp,max_temp,ns=0;i=24,95,Good (0x00000000),2025-08-15T11:33:19.867Z,2025-08-15T11:33:19.867Z
ns=1;s=pressure_gauge,1:pressure_gauge,pressure_gauge,ns=0;i=24,372,Good (0x00000000),2025-08-15T11:33:19.868Z,2025-08-15T11:33:19.868Z
ns=1;s=level_sensor_low,1:level_sensor_low,level_sensor_low,ns=0;i=24,1,Good (0x00000000),2025-08-15T11:33:19.869Z,2025-08-15T11:33:19.869Z
ns=1;s=on_button,1:on_button,on_button,ns=0;i=24,1,Good (0x00000000),2025-08-15T11:33:19.871Z,2025-08-15T11:33:19.871Z
ns=1;s=level_sensor_high,1:level_sensor_high,level_sensor_high,ns=0;i=24,1,Good (0x00000000),2025-08-15T11:33:19.872Z,2025-08-15T11:33:19.872Z
ns=1;s=heater_on,1:heater_on,heater_on,ns=0;i=24,,Good (0x00000000),2025-08-15T11:33:19.874Z,2025-08-15T11:33:19.874Z
ns=1;s=drain_on,1:drain_on,drain_on,ns=0;i=24,,Good (0x00000000),2025-08-15T11:33:19.874Z,2025-08-15T11:33:19.874Z
ns=1;s=water_on,1:water_on,water_on,ns=0;i=24,,Good (0x00000000),2025-08-15T11:33:19.876Z,2025-08-15T11:33:19.876Z
ns=1;s=max_pressure,1:max_pressure,max_pressure,ns=0;i=24,500,Good (0x00000000),2025-08-15T11:33:19.877Z,2025-08-15T11:33:19.877Z
ns=0;i=17634,LocalTime,LocalTime,ns=0;i=8912,"{""offset"":0,""daylightSavingInOffset"":false}",Good (0x00000000),2025-08-15T11:33:19.879Z,2025-08-15T11:33:19.879Z
ns=0;i=2994,Auditing,Auditing,ns=0;i=1,,Good (0x00000000),2025-08-15T11:33:19.881Z,2025-08-15T11:33:19.881Z
ns=0;i=2254,ServerArray,ServerArray,ns=0;i=12,"[""urn:open62541.server.application""]",Good (0x00000000),2025-08-15T11:33:19.882Z,2025-08-15T11:33:19.882Z
ns=0;i=2267,ServiceLevel,ServiceLevel,ns=0;i=3,255,Good (0x00000000),2025-08-15T11:33:19.883Z,2025-08-15T11:33:19.883Z
ns=0;i=2255,NamespaceArray,NamespaceArray,ns=0;i=12,"[""http://opcfoundation.org/UA/"",""urn:open62541.server.application""]",Good (0x00000000),2025-08-15T11:33:19.884Z,2025-08-15T11:33:19.884Z
ns=0;i=12885,EstimatedReturnTime,EstimatedReturnTime,ns=0;i=13,-11644473600000,Good (0x00000000),2025-08-15T11:33:19.885Z,2025-08-15T11:33:19.885Z
ns=0;i=2256,ServerStatus,ServerStatus,ns=0;i=862,"{""startTime"":""2025-08-07T07:32:40.777Z"",""currentTime"":""2025-08-15T11:33:19.886Z"",""state"":""Running"",""buildInfo"":{""productUri"":""http://open62541.org"",""manufacturerName"":""open62541"",""productName"":""open62541 OPC UA Server"",""softwareVersion"":""1.2.4"",""buildNumber"":""Aug  5 2025 18:34:47"",""buildDate"":""2025-08-07T07:32:40.775Z""},""secondsTillShutdown"":0,""shutdownReason"":{}}",Good (0x00000000),2025-08-15T11:33:19.886Z,2025-08-15T11:33:19.886Z
ns=0;i=11570,MaxNodesPerBrowse,MaxNodesPerBrowse,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.893Z,2025-08-15T11:33:19.893Z
ns=0;i=11569,MaxNodesPerMethodCall,MaxNodesPerMethodCall,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.893Z,2025-08-15T11:33:19.893Z
ns=0;i=12163,MaxNodesPerHistoryUpdateData,MaxNodesPerHistoryUpdateData,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.894Z,2025-08-15T11:33:19.894Z
ns=0;i=11572,MaxNodesPerTranslateBrowsePathsToNodeIds,MaxNodesPerTranslateBrowsePathsToNodeIds,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.895Z,2025-08-15T11:33:19.895Z
ns=0;i=12161,MaxNodesPerHistoryReadData,MaxNodesPerHistoryReadData,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.895Z,2025-08-15T11:33:19.895Z
ns=0;i=11573,MaxNodesPerNodeManagement,MaxNodesPerNodeManagement,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.896Z,2025-08-15T11:33:19.896Z
ns=0;i=12162,MaxNodesPerHistoryReadEvents,MaxNodesPerHistoryReadEvents,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.897Z,2025-08-15T11:33:19.897Z
ns=0;i=11571,MaxNodesPerRegisterNodes,MaxNodesPerRegisterNodes,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.897Z,2025-08-15T11:33:19.897Z
ns=0;i=11567,MaxNodesPerWrite,MaxNodesPerWrite,ns=0;i=7,0,Good (0x00000000),2025-08-15T11:33:19.898Z,2025-08-15T11:33:19.898Z
