endpoint,nodeId,browseName,displayName,nodeClass,dataTypeId,valueRank,access,userAccess,currentValue
opc.tcp://plc:4840,ns=1;s=thermometer,1:thermometer,thermometer,2,ns=0;i=24,-2,1,1,95
opc.tcp://plc:4840,ns=1;s=max_temp,1:max_temp,max_temp,2,ns=0;i=24,-2,1,1,95
opc.tcp://plc:4840,ns=1;s=pressure_gauge,1:pressure_gauge,pressure_gauge,2,ns=0;i=24,-2,1,1,372
opc.tcp://plc:4840,ns=1;s=level_sensor_low,1:level_sensor_low,level_sensor_low,2,ns=0;i=24,-2,1,1,true
opc.tcp://plc:4840,ns=1;s=on_button,1:on_button,on_button,2,ns=0;i=24,-2,3,1,true
opc.tcp://plc:4840,ns=1;s=level_sensor_high,1:level_sensor_high,level_sensor_high,2,ns=0;i=24,-2,1,1,true
opc.tcp://plc:4840,ns=1;s=heater_on,1:heater_on,heater_on,2,ns=0;i=24,-2,1,1,false
opc.tcp://plc:4840,ns=1;s=drain_on,1:drain_on,drain_on,2,ns=0;i=24,-2,1,1,false
opc.tcp://plc:4840,ns=1;s=water_on,1:water_on,water_on,2,ns=0;i=24,-2,1,1,false
opc.tcp://plc:4840,ns=1;s=max_pressure,1:max_pressure,max_pressure,2,ns=0;i=24,-2,1,1,500
opc.tcp://plc:4840,ns=0;i=17634,LocalTime,LocalTime,2,ns=0;i=8912,-1,1,1,"{""offset"":0,""daylightSavingInOffset"":false}"
opc.tcp://plc:4840,ns=0;i=2994,Auditing,Auditing,2,ns=0;i=1,-1,1,1,false
opc.tcp://plc:4840,ns=0;i=2254,ServerArray,ServerArray,2,ns=0;i=12,1,1,1,"[""urn:open62541.server.application""]"
opc.tcp://plc:4840,ns=0;i=2267,ServiceLevel,ServiceLevel,2,ns=0;i=3,-1,1,1,255
opc.tcp://plc:4840,ns=0;i=2255,NamespaceArray,NamespaceArray,2,ns=0;i=12,1,1,1,"[""http://opcfoundation.org/UA/"",""urn:open62541.server.application""]"
opc.tcp://plc:4840,ns=0;i=12885,EstimatedReturnTime,EstimatedReturnTime,2,ns=0;i=13,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=2256,ServerStatus,ServerStatus,2,ns=0;i=862,-1,1,1,"{""startTime"":""2025-08-16T15:15:58.976Z"",""currentTime"":""2025-08-17T11:04:03.958Z"",""state"":""Running"",""buildInfo"":{""productUri"":""http://open62541.org"",""manufacturerName"":""open62541"",""productName"":""open62541 OPC UA Server"",""softwareVersion"":""1.2.4"",""buildNumber"":""Aug  5 2025 18:34:47"",""buildDate"":""2025-08-16T15:15:58.974Z""},""secondsTillShutdown"":0,""shutdownReason"":{}}"
opc.tcp://plc:4840,ns=0;i=11570,MaxNodesPerBrowse,MaxNodesPerBrowse,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11569,MaxNodesPerMethodCall,MaxNodesPerMethodCall,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=12163,MaxNodesPerHistoryUpdateData,MaxNodesPerHistoryUpdateData,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11572,MaxNodesPerTranslateBrowsePathsToNodeIds,MaxNodesPerTranslateBrowsePathsToNodeIds,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=12161,MaxNodesPerHistoryReadData,MaxNodesPerHistoryReadData,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11573,MaxNodesPerNodeManagement,MaxNodesPerNodeManagement,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=12162,MaxNodesPerHistoryReadEvents,MaxNodesPerHistoryReadEvents,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11571,MaxNodesPerRegisterNodes,MaxNodesPerRegisterNodes,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11567,MaxNodesPerWrite,MaxNodesPerWrite,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11565,MaxNodesPerRead,MaxNodesPerRead,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=11574,MaxMonitoredItemsPerCall,MaxMonitoredItemsPerCall,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=12164,MaxNodesPerHistoryUpdateEvents,MaxNodesPerHistoryUpdateEvents,2,ns=0;i=7,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=12882,EstimatedReturnTime,EstimatedReturnTime,2,ns=0;i=13,-1,1,1,"""1601-01-01T00:00:00.000Z"""
opc.tcp://plc:4840,ns=0;i=2008,ServiceLevel,ServiceLevel,2,ns=0;i=3,-1,1,1,0
opc.tcp://plc:4840,ns=0;i=2742,Auditing,Auditing,2,ns=0;i=1,-1,1,1,false
