nodeId,browseName,path,value,sourceTimestamp,serverTimestamp,statusCode
ns=1;s=thermometer,1:thermometer,Objects/1:thermometer,94,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=max_temp,1:max_temp,Objects/1:max_temp,95,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=pressure_gauge,1:pressure_gauge,Objects/1:pressure_gauge,372,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=level_sensor_low,1:level_sensor_low,Objects/1:level_sensor_low,true,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=on_button,1:on_button,Objects/1:on_button,true,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=level_sensor_high,1:level_sensor_high,Objects/1:level_sensor_high,true,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=heater_on,1:heater_on,Objects/1:heater_on,true,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=drain_on,1:drain_on,Objects/1:drain_on,false,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=water_on,1:water_on,Objects/1:water_on,false,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=1;s=max_pressure,1:max_pressure,Objects/1:max_pressure,500,Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
ns=0;i=17634,LocalTime,Objects/Server/LocalTime,"{""offset"":0,""daylightSavingInOffset"":false}",Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Fri Aug 15 2025 15:48:19 GMT+0000 (Coordinated Universal Time),Good (0x00000000)
